Date,Volume
2020/5/28,32896642044 
2020/5/27,34367073114 
2020/5/26,32740536902 
2020/5/25,29584186947 
2020/5/24,31288157264 
2020/5/23,32518803300 
2020/5/22,27727866812 
2020/5/21,29810773699 
2020/5/20,39326160532 
2020/5/19,36546239703 
2020/5/18,39254288955 
2020/5/17,41827139896 
2020/5/16,40084250663 
2020/5/15,36164766408 
2020/5/14,48158802327 
2020/5/13,56426907637 
2020/5/12,45558144023 
2020/5/11,42142717533 
2020/5/10,57119858802 
2020/5/9,63325279337 
2020/5/8,46566121841 
2020/5/7,51780748042 
2020/5/6,61112700562 
2020/5/5,49371886931 
2020/5/4,43148462663 
2020/5/3,45718796276 
2020/5/2,47101785174 
2020/5/1,40134388683 
2020/4/30,44068389997 
2020/4/29,66964629541 
2020/4/28,60201052203 
2020/4/27,33187959921 
2020/4/26,36162144725 
2020/4/25,33070154491 
2020/4/24,32941541447 
2020/4/23,34636526286 
2020/4/22,43500782316 
2020/4/21,33249153866 
2020/4/20,32589741511 
2020/4/19,37747113936 
2020/4/18,31311210215 
2020/4/17,32447188386 
2020/4/16,32513423567 
2020/4/15,46783242377 
2020/4/14,32288311031 
2020/4/13,34110434052 
2020/4/12,38619308647 
2020/4/11,35759567632 
2020/4/10,31222085946 
2020/4/9,43622840992 
2020/4/8,34815139178 
2020/4/7,37563249549 
2020/4/6,44243482668 
2020/4/5,46896904615 
2020/4/4,29510409856 
2020/4/3,33185988584 
2020/4/2,38976504903 
2020/4/1,47660646124 
2020/3/31,40346426266 
2020/3/30,32786468812 
2020/3/29,37101651525 
2020/3/28,28373690931 
2020/3/27,34885225901 
2020/3/26,34585598367 
2020/3/25,35319797642 
2020/3/24,44590107888 
2020/3/23,48221910672 
2020/3/22,46491916000 
2020/3/21,40099664740 
2020/3/20,42494390880 
2020/3/19,54442976103 
2020/3/18,51000731797 
2020/3/17,37878801016 
2020/3/16,38622642935 
2020/3/15,45368026430 
2020/3/14,33997889639 
2020/3/13,36154506008 
2020/3/12,74156772075 
2020/3/11,53980357243 
2020/3/10,38682762605 
2020/3/9,42213940994 
2020/3/8,46936995808 
2020/3/7,39973102121 
2020/3/6,36216930370 
2020/3/5,40826885651 
2020/3/4,39698054597 
2020/3/3,34746706368 
2020/3/2,42386715821 
2020/3/1,42857674409 
2020/2/29,35349164300 
2020/2/28,35792392544 
2020/2/27,44605450443 
2020/2/26,45470195695 
2020/2/25,50420050762 
2020/2/24,42515259129 
2020/2/23,45080496648 
2020/2/22,41185185761 
2020/2/21,35838025154 
2020/2/20,40930547513 
2020/2/19,44925260237 
2020/2/18,46992019710 
2020/2/17,47271023953 
2020/2/16,45998298413 
2020/2/15,43374780305 
2020/2/14,43865054831 
2020/2/13,43338264162 
2020/2/12,49356071373 
2020/2/11,43444303830 
2020/2/10,37648059389 
2020/2/9,39386548075 
2020/2/8,35807884663 
2020/2/7,35172043762 
2020/2/6,34522718159 
2020/2/5,37628823716 
2020/2/4,35222060874 
2020/2/3,29893183716 
2020/2/2,30934096509 
2020/2/1,30835736946 
2020/1/31,25922656496 
2020/1/30,29432489719 
2020/1/29,32378792851 
2020/1/28,30682598115 
2020/1/27,34398744403 
2020/1/26,28647338393 
2020/1/25,22177678796 
2020/1/24,19647331549 
2020/1/23,24397913026 
2020/1/22,25770680779 
2020/1/21,22600204051 
2020/1/20,24097418512 
2020/1/19,26422375678 
2020/1/18,34217320471 
2020/1/17,32337772627 
2020/1/16,36372139320 
2020/1/15,31313981931 
2020/1/14,40102834650 
2020/1/13,44841784107 
2020/1/12,22482910688 
2020/1/11,22903438381 
2020/1/10,25521165085 
2020/1/9,28714583844 
2020/1/8,24045990466 
2020/1/7,31672559265 
2020/1/6,28767291327 
2020/1/5,23276261598 
2020/1/4,19725074095 
2020/1/3,18444271275 
2020/1/2,28111481032 
2020/1/1,20802083465 
2019/12/31,18565664997 
2019/12/30,21167946112 
2019/12/29,22874131672 
2019/12/28,22445257702 
2019/12/27,21365673026 
2019/12/26,22777360996 
2019/12/25,22787010034 
2019/12/24,21559505149 
2019/12/23,22991622105 
2019/12/22,27831788041 
2019/12/21,23134537956 
2019/12/20,19312552168 
2019/12/19,22633815180 
2019/12/18,25904604416 
2019/12/17,31836522778 
2019/12/16,22363804217 
2019/12/15,20213265950 
2019/12/14,16881129804 
2019/12/13,17137029730 
2019/12/12,17125736940 
2019/12/11,18927080224 
2019/12/10,16350490689 
2019/12/9,18249031195 
2019/12/8,17872021272 
2019/12/7,15409908086 
2019/12/6,15453520564 
2019/12/5,18104466307 
2019/12/4,18816085231 
2019/12/3,21664240918 
2019/12/2,14797485769 
2019/12/1,17082040706 
2019/11/30,18720708479 
2019/11/29,17158194786 
2019/11/28,19709695456 
2019/11/27,19050116751 
2019/11/26,23991412764 
2019/11/25,21129505542 
2019/11/24,42685231262 
2019/11/23,30433517289 
2019/11/22,21008924418 
2019/11/21,34242315785 
2019/11/20,22514243371 
2019/11/19,20764300437 
